Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
125,Amari Rodgers (FA),16.00,25.00,204.00,12.80,37.00,4.00,1.00,2.00,7.00, -   ,2.00,15.00,39.10,2.60,0%
126,Marquez Callaway (FA),16.00,32.00,158.00,9.90,33.00,3.00,1.00, -   , -   , -   , -   ,10.00,37.80,3.80,0%
127,Zach Pascal (ARI),15.00,19.00,150.00,10.00,34.00,3.00,1.00,1.00, -   , -   , -   ,15.00,36.00,2.40,0%
128,Byron Pringle (WAS),10.00,16.00,135.00,13.50,35.00,4.00,2.00, -   , -   , -   , -   ,10.00,35.50,3.60,0%
129,Sterling Shepard (NYG),13.00,24.00,154.00,11.80,65.00,4.00,1.00, -   , -   , -   , -   ,3.00,34.40,11.50,0%
130,Khalil Shakir (BUF),10.00,20.00,161.00,16.10,31.00,5.00,1.00, -   , -   , -   , -   ,10.00,34.10,3.40,1%
131,Velus Jones Jr. (CHI),7.00,14.00,107.00,15.30,44.00,4.00,1.00,9.00,103.00,1.00,3.00,11.00,34.00,3.10,0%
132,Jalen Nailor (MIN),9.00,13.00,179.00,19.90,47.00,6.00,1.00, -   , -   , -   , -   ,8.00,32.90,4.10,0%
133,Dyami Brown (WAS),5.00,14.00,143.00,28.60,75.00,6.00,2.00,1.00,15.00, -   , -   ,9.00,32.80,3.60,0%
134,Steven Sims Jr. (HOU),14.00,23.00,104.00,7.40,28.00,1.00, -   ,13.00,70.00, -   , -   ,12.00,31.40,2.60,0%
135,River Cracraft (MIA),9.00,14.00,102.00,11.30,22.00,1.00,2.00, -   , -   , -   , -   ,8.00,31.20,3.90,0%
136,Lawrence Cager (NYG),13.00,19.00,118.00,9.10,20.00,1.00,1.00, -   , -   , -   , -   ,6.00,30.80,5.10,0%
137,Keelan Cole Sr. (LV),10.00,21.00,141.00,14.10,30.00,4.00,1.00, -   , -   , -   , -   ,12.00,30.10,2.50,0%
138,Denzel Mims (PIT),11.00,25.00,186.00,16.90,63.00,6.00, -   , -   , -   , -   , -   ,9.00,29.60,3.30,0%
139,Jalen Reagor (NE),8.00,13.00,104.00,13.00,38.00,3.00,1.00,4.00,25.00, -   , -   ,17.00,26.90,1.60,0%
140,Cedrick Wilson Jr. (MIA),12.00,18.00,136.00,11.30,21.00,2.00, -   ,1.00,8.00, -   , -   ,13.00,26.40,2.00,0%
141,KJ Hamler (IND),7.00,14.00,165.00,23.60,55.00,10.00, -   ,2.00,23.00, -   , -   ,7.00,25.80,3.70,0%
142,N'Keal Harry (MIN),7.00,9.00,116.00,16.60,49.00,3.00,1.00, -   , -   , -   , -   ,6.00,24.60,4.10,0%
143,DeSean Jackson (FA),9.00,17.00,153.00,17.00,62.00,5.00, -   , -   , -   , -   , -   ,7.00,24.30,3.50,1%
