model_rank,independent_rank,adp,market_gap,independent_market_gap,round,player,position,position_rank,adp_position_rank,adp_position_label,decision_position_label,team,bye,injury,tier,signal,projected_points,projected_ppg_17,independent_points,independent_ppg,independent_expected_points,sleeper_projected_points,sleeper_ppg_17,projection_gap,projected_games,confidence,model_source,reason,team_pass_rank,team_rush_rank,team_pass_rate,own_pass_attempts,sleeper_pass_attempts,own_targets,sleeper_targets,own_carries,sleeper_carries,vbd,independent_vbd,games_2025,points_2025,ppg_2025,rank_2025,player_id,rush_attempts,rush_yards,rush_touchdowns,receptions,targets,receiving_yards,receiving_touchdowns,completions,pass_attempts,pass_yards,pass_touchdowns
188,193,239.6,51.6,46.6,20,Ted Hurst,WR,83,91,WR 91,WR 83,TB,10,,Depth,Depth,101.7,6.0,113.0,6.65,66.2,98.0,5.76,15.0,10.0,Low,rookie,"Rookie model: pick 84, age and destination-team environment; team pass volume #12, rush volume #11",12,11,0.562,,,0.0,,0.0,2.0,-47.1,-39.5,,,,,13317,2.0,13.0,,36.0,,426.0,3.0,,,,
162,174,239.8,77.8,65.8,20,Devaughn Vele,WR,72,92,WR 92,WR 72,NO,8,,Depth,Depth,113.3,6.7,115.5,6.8,60.5,111.0,6.53,4.5,8.9,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #8, rush volume #22",8,22,0.58,,,66.3,,0.8,1.0,-35.9,-33.8,13,66.3,5.1,95,11834,1.0,10.0,,42.0,,496.0,3.0,,,,
133,153,239.9,106.9,86.9,20,Pat Freiermuth,TE,24,33,TE 33,TE 24,PIT,9,,Depth,Depth,127.2,7.5,126.8,7.46,96.4,128.0,7.53,-1.2,12.9,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #24, rush volume #18",24,18,0.556,,,69.8,,0.3,,-19.7,-24.4,17,113.6,6.7,25,7600,,,,51.0,,534.0,4.0,,,,
224,227,240.6,16.6,13.6,21,Kaytron Allen,RB,69,69,RB 69,RB 69,WAS,7,,Depth,Depth,54.1,3.2,78.4,4.61,40.9,46.0,2.71,32.4,8.9,Low,rookie,"Rookie model: pick 187, age and destination-team environment; team pass volume #29, rush volume #8",29,8,0.542,,,0.0,,0.0,53.0,-64.7,-53.8,,,,,13405,53.0,220.0,2.0,8.0,,59.0,,,,,
235,235,240.6,5.6,5.6,21,Jarquez Hunter,RB,72,70,RB 70,RB 72,LAR,11,,Depth,Depth,10.0,0.6,10.0,0.59,10.0,10.0,0.59,0.0,17.0,Low,unmodeled,"No reliable NFLverse player match; Sleeper only; team pass volume #7, rush volume #14",7,14,0.568,,,0.0,,0.0,15.0,-167.6,-171.1,,,,,11569,15.0,63.0,,2.0,,13.0,,,,,
206,178,240.9,34.9,62.9,21,Chris Bell,WR,92,93,WR 93,WR 92,MIA,6,Ques,Depth,Depth,79.1,4.7,115.5,6.79,63.2,67.0,3.94,48.5,9.3,Low,rookie,"Rookie model: pick 94, age and destination-team environment; team pass volume #25, rush volume #24",25,24,0.561,,,0.0,,0.0,1.0,-56.2,-35.3,,,,,13311,1.0,3.0,,25.0,,299.0,2.0,,,,
175,160,241.3,66.3,81.3,21,Kimani Vidal,RB,47,71,RB 71,RB 47,LAC,7,,Depth,Depth,112.1,6.6,140.2,8.25,91.2,60.0,3.53,80.2,11.1,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #14, rush volume #16",14,16,0.569,,,32.3,,157.4,60.0,-42.8,-26.7,13,117.9,9.1,42,11647,60.0,243.0,2.0,14.0,,97.0,,,,,
183,209,241.4,58.4,32.4,21,Jake Tonges,TE,34,34,TE 34,TE 34,SF,8,,Depth,Depth,76.9,4.5,82.7,4.87,50.2,71.0,4.18,11.7,10.3,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #16, rush volume #9",16,9,0.551,,,51.2,,0.7,,-46.2,-46.2,16,93.3,5.8,30,8698,,,,30.0,,288.0,2.0,,,,
210,162,241.5,31.5,79.5,21,Elic Ayomanor,WR,84,94,WR 94,WR 84,TEN,9,,Depth,Depth,98.7,5.8,140.4,8.26,99.5,57.0,3.35,83.4,12.0,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #18, rush volume #30",18,30,0.589,,,87.7,,1.3,,-58.7,-28.0,16,116.5,7.3,55,12499,,,,20.0,,247.0,2.0,,,,
221,222,241.7,20.7,19.7,21,Christian Kirk,WR,95,95,WR 95,WR 95,SF,8,Ques,Depth,Depth,63.7,3.7,81.3,4.78,43.4,46.0,2.71,35.3,9.1,Medium,veteran,"Veteran model: 2025 form, prior-year trend and new team pass/run forecast; team pass volume #16, rush volume #9",16,9,0.551,,,51.9,,0.5,1.0,-63.2,-52.9,13,57.9,4.5,101,4950,1.0,9.0,,19.0,,205.0,1.0,,,,
179,133,241.8,62.8,108.8,21,Troy Franklin,WR,67,96,WR 96,WR 67,DEN,10,,Depth,Depth,126.0,7.4,158.3,9.31,127.2,66.0,3.88,92.3,13.7,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #6, rush volume #19",6,19,0.57,,,90.9,,3.9,2.0,-45.0,-17.6,17,177.1,10.4,31,11627,2.0,14.0,,24.0,,287.0,2.0,,,,
230,132,241.8,11.8,109.8,21,Ty Simpson,QB,33,33,QB 33,QB 33,LAR,11,,Depth,Depth,69.3,4.1,235.2,13.83,85.8,14.0,0.82,221.2,6.2,Low,rookie,"Rookie model: pick 13, age and destination-team environment; team pass volume #7, rush volume #14",7,14,0.568,0.0,32.0,,,0.0,5.0,-79.1,-17.1,,,,,13275,5.0,19.0,,,,,,20.0,32.0,218.0,1.0
222,204,242.0,20.0,38.0,21,Demond Claiborne,RB,71,72,RB 72,RB 71,MIN,6,,Depth,Depth,39.2,2.3,82.0,4.82,37.5,25.0,1.47,57.0,7.8,Low,rookie,"Rookie model: pick 198, age and destination-team environment; team pass volume #26, rush volume #27",26,27,0.575,,,0.0,,0.0,29.0,-63.5,-45.5,,,,,13347,29.0,138.0,1.0,4.0,,30.0,,,,,
